image_name,dataset_split,horizontal_symmetry,vertical_symmetry,rotational_symmetry,final_symmetry_score
alvaro-polo-lwSIJY9hwL4-unsplash.jpg,train,41.8,35.04,34.32,37.05
alexander-krivitskiy-NIsQJv2jyw0-unsplash.jpg,train,32.58,24.89,21.81,26.43
simone-hutsch-5vZL-BziiPg-unsplash.jpg,train,79.52,68.87,68.87,72.42
aleksandr-kotrulev-0JlvoV6rDpk-unsplash.jpg,train,50.02,39.79,39.34,43.05
photoholgic-t7Tgk5Ydf94-unsplash.jpg,train,54.25,58.55,54.38,55.73
zach-heiberg-CGCsdy7aZTc-unsplash.jpg,train,45.56,23.01,21.11,29.89
victor-vazquez-jVlMGIzdmLg-unsplash.jpg,train,72.21,57.66,57.57,62.48
adrian-trinkaus-nDXLjf-sDWA-unsplash.jpg,train,65.7,53.78,53.54,57.67
michelen-studios-V8prvWIkfU4-unsplash.jpg,train,55.64,19.44,15.6,30.23
michael-baird-4MJ2vzMk7GA-unsplash.jpg,train,58.39,77.64,55.5,63.84
nick-jones-uRuLv7yBnD8-unsplash.jpg,train,74.14,57.27,57.07,62.83
marco-bianchetti-0JV2z7Ko2m4-unsplash.jpg,train,41.97,52.79,38.56,44.44
red-john-xlXtMIaod90-unsplash.jpg,train,77.78,52.25,52.89,60.97
cassie-matias-EU6puhukUJI-unsplash.jpg,train,74.01,72.26,71.57,72.61
patrick-fore-p1WB-F_p_Vk-unsplash.jpg,train,92.83,67.79,67.78,76.13
amar-kun-kawakibi-L3pKCwgGl_o-unsplash.jpg,train,52.91,39.6,38.2,43.57
aziz-acharki-y8VJIzxxsIM-unsplash.jpg,train,57.57,56.47,56.25,56.77
ana-karla-parra-os9LCu3X7xE-unsplash.jpg,train,55.43,55.19,54.24,54.96
amariei-mihai-zPrunQhm2M4-unsplash.jpg,train,70.35,36.56,34.3,47.07
andre-mouton-tFTYlAc9pyw-unsplash.jpg,train,89.34,89.05,88.64,89.01
clay-banks-VXhQgveleuA-unsplash.jpg,train,28.8,19.39,19.23,22.47
colin-lloyd-XCAyeJwNNkk-unsplash.jpg,train,36.94,32.6,25.16,31.57
chris-lutke-13h68adCMHY-unsplash.jpg,train,60.71,58.84,54.94,58.16
chuan-G3kDOKaa5R8-unsplash.jpg,train,44.91,38.03,37.36,40.1
coline-beulin-XuJFtB_2yWA-unsplash.jpg,train,86.44,80.09,79.68,82.07
cristina-gottardi-Em7HwmdRPy8-unsplash.jpg,train,49.31,46.7,44.71,46.91
colton-duke-JJFoy0BpqLk-unsplash.jpg,train,38.3,25.92,25.68,29.96
ben-krb-SFx6fdRAtbE-unsplash.jpg,train,65.7,65.27,62.59,64.52
cesira-alvarado-SsgCQtKs8lY-unsplash.jpg,train,76.73,71.0,70.92,72.88
brennan-martinez-8TLJQxMabP4-unsplash.jpg,train,50.65,37.61,37.62,41.96
chelaxy-designs-qUS6R8AZNaY-unsplash.jpg,train,59.13,46.0,44.24,49.79
erol-ahmed-aIYFR0vbADk-unsplash.jpg,train,9.54,10.63,9.47,9.88
drew-dizzy-graham-WdsiWZ8pouY-unsplash.jpg,train,74.39,56.79,56.48,62.55
dmitri-szs4JuycZlQ-unsplash.jpg,train,34.6,29.74,24.38,29.57
drew-dizzy-graham-FK0RhfEeY0w-unsplash.jpg,train,5.83,7.15,7.3,6.76
drew-dizzy-graham-c6sle3xzSOs-unsplash.jpg,train,74.4,39.11,39.1,50.87
enrico--A3E5rsdTbU-unsplash.jpg,train,62.76,31.75,31.66,42.06
elena-rabkina-awt1U6qbYoI-unsplash.jpg,train,10.33,9.31,9.09,9.58
david-clode-xNSCi_K179c-unsplash.jpg,train,26.33,27.59,27.84,27.25
dan-gold-w-9Rhh0Tgqo-unsplash.jpg,train,61.83,61.69,61.68,61.73
david-lezcano-17AJ4GksGpE-unsplash.jpg,train,55.16,46.83,47.68,49.89
den-evstratov-U7stODj21DU-unsplash.jpg,train,88.03,87.42,86.52,87.32
faruk-kaymak-P_Ne56WEe5s-unsplash.jpg,train,26.37,27.08,23.7,25.72
esteban-bonilla-cJBezX84KWA-unsplash.jpg,train,38.84,38.51,38.4,38.58
fabian-bachli-nC0A85XQ2pI-unsplash.jpg,train,13.13,13.49,13.31,13.31
joel-fulgencio-VSrHD079L78-unsplash.jpg,train,25.58,25.23,22.68,24.5
john-robert-marasigan-Lxz__X7NAbA-unsplash.jpg,train,59.36,53.79,53.57,55.57
jonas-thijs-XI8sW-AqKz8-unsplash.jpg,train,41.67,31.97,29.9,34.51
jonas-off-FO2zwDMQzUM-unsplash.jpg,train,74.94,55.6,51.76,60.77
joe-green-Tmi1LtqDek4-unsplash.jpg,train,50.68,33.66,33.41,39.25
joel-danielson-j3guHyeC-bg-unsplash.jpg,train,54.15,39.54,39.32,44.33
joakim-honkasalo-nooqi9ZGNss-unsplash.jpg,train,62.14,38.57,38.31,46.34
james-best-f8U9Xqi1J5E-unsplash.jpg,train,40.26,32.66,31.85,34.92
intricate-explorer-3IpOIzAF9Ek-unsplash.jpg,train,17.5,16.16,14.16,15.94
jack-robinson-oc4kVkjQJmI-unsplash.jpg,train,32.52,21.19,20.87,24.86
icons8-team-dhZtNlvNE8M-unsplash.jpg,train,96.03,96.28,95.93,96.08
frank-zhang-htTzD4O9_hk-unsplash.jpg,train,59.21,47.29,46.29,50.93
guillaume-zaracas-KhyutFfJ-iE-unsplash.jpg,train,62.0,40.38,40.12,47.5
ferdinand-stohr-NFs6dRTBgaM-unsplash.jpg,train,41.57,39.64,40.12,40.44
flow-clark-GxyyNHAxVWE-unsplash.jpg,train,35.43,20.73,13.12,23.09
pascal-debrunner-fw2OF3-aFW8-unsplash.jpg,train,32.86,15.08,13.11,20.35
oskars-sylwan-rcAOIMSDfyc-unsplash.jpg,train,61.98,38.81,37.95,46.24
nick-fewings-pSxBMq3cAOk-unsplash.jpg,train,56.4,57.69,54.06,56.05
muhammad-rizky-pratama-usaIJgUQm8c-unsplash.jpg,train,81.43,78.81,78.69,79.65
nikolay-trebukhin-pQ2XFcooZI4-unsplash.jpg,train,21.77,39.53,20.93,27.41
michael-heuser-M_PLTKMzyN0-unsplash.jpg,train,50.04,32.82,31.67,38.18
meritt-thomas-B4P1WwFHmOE-unsplash.jpg,train,62.45,54.84,54.7,57.33
manny-moreno-uWscXisANmw-unsplash.jpg,train,40.2,31.45,30.95,34.2
marius-george-oprea-YWXpSg7x39o-unsplash.jpg,train,50.89,50.59,49.95,50.48
matthew-fassnacht-Hy6FGDuDGeA-unsplash.jpg,train,34.14,24.22,23.15,27.17
max-hermansson-ewFKiUYV2-8-unsplash.jpg,train,4.15,4.31,4.05,4.17
luis-villasmil-mMRBwkjursA-unsplash.jpg,train,47.29,28.77,28.11,34.72
lianhao-qu-4JjK_YR0SLM-unsplash.jpg,train,77.5,51.89,51.62,60.34
kevin-mueller-aWckTrzEBHg-unsplash.jpg,train,61.82,61.53,62.36,61.9
kit-suman-op2iiQwJpp0-unsplash.jpg,train,64.92,46.44,46.8,52.72
khara-woods-3lKFHLCKark-unsplash.jpg,train,39.39,34.93,31.7,35.34
lance-anderson-AUbnEINNHKg-unsplash.jpg,train,23.42,17.22,16.78,19.14
thomas-dumortier-8ywl01wslAA-unsplash.jpg,train,88.07,86.8,86.68,87.18
toa-heftiba-bnoPZ9aTyWQ-unsplash.jpg,train,62.09,54.06,51.71,55.95
tim-mossholder-G-IId4_X6mA-unsplash.jpg,train,56.0,51.99,52.05,53.35
tomas-yates-3bx_AikPT8o-unsplash.jpg,train,10.79,14.38,10.1,11.76
tobias-polinder-jZs62dFbk9I-unsplash.jpg,train,70.46,68.71,68.64,69.27
skyler-smith-ISHD1ovpJ-k-unsplash.jpg,train,38.25,27.99,26.53,30.92
sven-read-QoQ17pKMueo-unsplash.jpg,train,54.86,55.18,54.32,54.79
space-needle-seattle-modern-architecture-landmark-glacier-3840x2160-4311.jpg,train,68.01,58.48,58.27,61.59
ta-ching-chen-poPTI5BszZg-unsplash.jpg,train,33.98,25.63,25.19,28.26
simone-hutsch-joZoh31kt_8-unsplash.jpg,train,88.9,78.63,78.43,81.99
simone-hutsch-RyGYujTUeV0-unsplash.jpg,train,63.11,45.3,44.99,51.13
rod-long-7Csefv0S--Q-unsplash.jpg,train,63.88,49.97,49.34,54.4
rashid-khreiss-D5xvlpBt6lw-unsplash.jpg,train,28.96,24.76,24.26,25.99
sameer-meshram-aKZ908V1ZeM-unsplash.jpg,train,43.82,36.5,36.49,38.94
sasha-kaunas-VfgpukiOT-s-unsplash.jpg,train,43.03,32.35,32.27,35.88
patrick-hendry-SD6IsqeAAjw-unsplash.jpg,train,51.37,48.91,46.94,49.07
pranav-nahata-D0Wd-7LLCpM-unsplash.jpg,train,83.8,60.63,59.91,68.12
pierre-chatel-innocenti-Wm3DCN_ydR0-unsplash.jpg,train,74.23,75.27,73.1,74.2
ramakant-sharda-lWydPBv9qsI-unsplash.jpg,train,74.71,66.91,66.83,69.48
photos-by-lanty-gHO13CX3V84-unsplash.jpg,train,81.2,75.15,74.92,77.09
alice-butenko-DNrtyC94eMw-unsplash.jpg,val,7.34,5.24,5.09,5.89
meiying-ng-4pGcV8DfD0Y-unsplash.jpg,val,63.86,62.23,61.18,62.42
shapelined-5kjDIw7STCw-unsplash.jpg,val,64.87,69.71,58.75,64.44
ananth-pai-EPD9KPAEwsk-unsplash.jpg,val,54.94,35.79,34.71,41.81
angela-lo-WQwdR7RbXc0-unsplash.jpg,val,55.11,45.42,45.08,48.54
bady-abbas-KvABIybtJgA-unsplash.jpg,val,19.04,19.42,20.17,19.54
charles-postiaux-AEogFBJFB9A-unsplash.jpg,val,57.64,38.82,37.72,44.72
cristina-gottardi-MEDKPh77-c4-unsplash.jpg,val,44.29,36.82,33.01,38.04
denys-nevozhai-MYrIjTGbTK0-unsplash.jpg,val,81.63,13.17,13.16,35.99
faris-mohammed-uemGtQ7PTlM-unsplash.jpg,val,80.11,74.66,74.44,76.4
justin-main-ewKDwf05Eds-unsplash.jpg,val,48.95,13.91,13.9,25.59
hhh13-dat6EwZnY1w-unsplash.jpg,val,22.23,19.97,19.42,20.54
fernando-meloni-k0jOcbLub3o-unsplash.jpg,val,34.87,21.52,18.54,24.98
frames-for-your-heart-xQdP5ZI8dsI-unsplash.jpg,val,43.25,35.02,23.08,33.78
nathan-dumlao-Nv8oqa5lx2g-unsplash.jpg,val,60.65,47.53,47.1,51.76
miguel-sousa-cKIjpSnu0gc-unsplash.jpg,val,45.31,37.39,37.26,39.99
matthew-henry-yETqkLnhsUI-unsplash.jpg,val,82.68,76.67,75.14,78.17
lianhao-qu-NggpN3IYCrA-unsplash.jpg,val,30.32,14.11,14.27,19.57
the-creativv-qLEKtlHvGfo-unsplash.jpg,val,42.56,39.59,39.58,40.58
tycho-atsma-b5iEw_Xh8Rs-unsplash.jpg,val,57.18,38.78,37.0,44.32
stefen-tan-n4ZmQXqCqfk-unsplash.jpg,val,64.7,60.65,60.29,61.88
roberto-reposo-Ieac9Zi47_s-unsplash.jpg,val,48.97,35.31,36.0,40.09
sergiu-valena-CS1b40vBH_Y-unsplash.jpg,val,66.35,61.58,57.6,61.84
patrick-schiele-OzK7tIOPggk-unsplash.jpg,val,48.29,40.97,41.65,43.64
quentin-ferrer-MumwgaUKcLw-unsplash.jpg,val,72.19,66.69,62.15,67.01
