image_path,symmetry_score
/content/drive/MyDrive/symmetry_dataset/wim-van-t-einde-fAA-NKhBGZE-unsplash.jpg,"(6.29, 5.4, 5.22, 5.64)"
/content/drive/MyDrive/symmetry_dataset/steve-harvey-_7S3tOs424o-unsplash.jpg,"(7.56, 6.22, 5.97, 6.58)"
/content/drive/MyDrive/symmetry_dataset/mikael-stenberg-4Modm9afAjs-unsplash.jpg,"(51.85, 48.63, 48.75, 49.74)"
/content/drive/MyDrive/symmetry_dataset/jonas-tebbe-G9c2URI6yoE-unsplash.jpg,"(69.46, 69.24, 69.09, 69.27)"
/content/drive/MyDrive/symmetry_dataset/wei-gao-Wht4exruH5E-unsplash.jpg,"(77.43, 63.9, 59.31, 66.88)"
/content/drive/MyDrive/symmetry_dataset/nick-fewings-Yu9oSWHZw7I-unsplash.jpg,"(10.31, 9.6, 8.85, 9.58)"
/content/drive/MyDrive/symmetry_dataset/kate-olfans-Z2iUysyGvdM-unsplash.jpg,"(9.02, 9.72, 8.69, 9.14)"
/content/drive/MyDrive/symmetry_dataset/tobias-reich-LxJgwkEOTIY-unsplash.jpg,"(30.69, 26.55, 26.67, 27.97)"
/content/drive/MyDrive/symmetry_dataset/fredrik-solli-wandem-qHEc0vFBIXQ-unsplash.jpg,"(62.85, 62.44, 61.35, 62.21)"
/content/drive/MyDrive/symmetry_dataset/tim-russmann-oGmV0y2ZOfo-unsplash.jpg,"(46.28, 16.6, 15.26, 26.05)"
/content/drive/MyDrive/symmetry_dataset/rob-thompson-tCJEffFEMQU-unsplash.jpg,"(30.57, 25.84, 23.5, 26.64)"
/content/drive/MyDrive/symmetry_dataset/taneli-lahtinen-uJ6FtEqQwXk-unsplash.jpg,"(75.63, 33.81, 33.8, 47.75)"
/content/drive/MyDrive/symmetry_dataset/pim-de-boer-KULkptjjjbg-unsplash.jpg,"(83.18, 65.33, 65.03, 71.18)"
/content/drive/MyDrive/symmetry_dataset/parrish-freeman-7u4GPv8he8k-unsplash.jpg,"(38.37, 33.55, 33.19, 35.04)"
/content/drive/MyDrive/symmetry_dataset/kristina-delp-292bCjhyG7Y-unsplash.jpg,"(42.66, 23.38, 22.48, 29.51)"
/content/drive/MyDrive/symmetry_dataset/eduard-dtuM342uTmc-unsplash.jpg,"(10.63, 10.08, 8.86, 9.86)"
/content/drive/MyDrive/symmetry_dataset/the-new-york-public-library-36BNmfEKEeo-unsplash.jpg,"(36.36, 36.32, 35.95, 36.21)"
/content/drive/MyDrive/symmetry_dataset/yzy-pop-Z_XpU53_2IA-unsplash.jpg,"(9.09, 11.03, 10.72, 10.28)"
/content/drive/MyDrive/symmetry_dataset/fredrik-solli-wandem-1aLSpCgMqno-unsplash.jpg,"(55.49, 17.26, 17.32, 30.03)"
/content/drive/MyDrive/symmetry_dataset/vlad-kutepov-lGVs0Q5S1no-unsplash.jpg,"(36.48, 34.73, 34.34, 35.18)"
/content/drive/MyDrive/symmetry_dataset/kadir-kvs-_d8OOX3hfPk-unsplash.jpg,"(47.44, 24.63, 24.45, 32.18)"
/content/drive/MyDrive/symmetry_dataset/irfan-simsar-o2dcMuNDOo8-unsplash.jpg,"(26.16, 19.8, 17.97, 21.31)"
/content/drive/MyDrive/symmetry_dataset/mihaly-koles-1eqCjxEKKU0-unsplash.jpg,"(26.08, 11.3, 10.11, 15.83)"
/content/drive/MyDrive/symmetry_dataset/lucas-degenhardt-689mCCkenGw-unsplash.jpg,"(23.17, 23.39, 28.63, 25.06)"
/content/drive/MyDrive/symmetry_dataset/marco-bianchetti-0JV2z7Ko2m4-unsplash.jpg,"(41.97, 52.79, 38.56, 44.44)"
/content/drive/MyDrive/symmetry_dataset/michael-baird-4MJ2vzMk7GA-unsplash.jpg,"(58.39, 77.64, 55.5, 63.84)"
/content/drive/MyDrive/symmetry_dataset/cassie-matias-EU6puhukUJI-unsplash.jpg,"(74.01, 72.26, 71.57, 72.61)"
/content/drive/MyDrive/symmetry_dataset/marcia-simoes-TSZ97BVHd48-unsplash.jpg,"(81.43, 77.02, 74.12, 77.52)"
/content/drive/MyDrive/symmetry_dataset/meiying-ng-4pGcV8DfD0Y-unsplash.jpg,"(63.86, 62.23, 61.18, 62.42)"
/content/drive/MyDrive/symmetry_dataset/michelen-studios-V8prvWIkfU4-unsplash.jpg,"(55.64, 19.44, 15.6, 30.23)"
/content/drive/MyDrive/symmetry_dataset/nick-jones-uRuLv7yBnD8-unsplash.jpg,"(74.14, 57.27, 57.07, 62.83)"
/content/drive/MyDrive/symmetry_dataset/shashidhar-s-q1uPEjFcu-4-unsplash.jpg,"(70.86, 32.27, 32.17, 45.1)"
/content/drive/MyDrive/symmetry_dataset/red-john-xlXtMIaod90-unsplash.jpg,"(77.78, 52.25, 52.89, 60.97)"
/content/drive/MyDrive/symmetry_dataset/simone-hutsch-5vZL-BziiPg-unsplash.jpg,"(79.52, 68.87, 68.87, 72.42)"
/content/drive/MyDrive/symmetry_dataset/patrick-fore-p1WB-F_p_Vk-unsplash.jpg,"(92.83, 67.79, 67.78, 76.13)"
/content/drive/MyDrive/symmetry_dataset/photoholgic-t7Tgk5Ydf94-unsplash.jpg,"(54.25, 58.55, 54.38, 55.73)"
/content/drive/MyDrive/symmetry_dataset/shapelined-5kjDIw7STCw-unsplash.jpg,"(64.87, 69.71, 58.75, 64.44)"
/content/drive/MyDrive/symmetry_dataset/victor-vazquez-jVlMGIzdmLg-unsplash.jpg,"(72.21, 57.66, 57.57, 62.48)"
/content/drive/MyDrive/symmetry_dataset/zach-heiberg-CGCsdy7aZTc-unsplash.jpg,"(45.56, 23.01, 21.11, 29.89)"
/content/drive/MyDrive/symmetry_dataset/adrien-olichon-k15YX2VKfAU-unsplash.jpg,"(17.73, 13.43, 12.44, 14.53)"
/content/drive/MyDrive/symmetry_dataset/anthony-ketland-yxYqyITBkJI-unsplash.jpg,"(47.63, 36.54, 36.43, 40.2)"
/content/drive/MyDrive/symmetry_dataset/sharan-pagadala-mu_qMKSH0as-unsplash.jpg,"(55.24, 43.67, 43.18, 47.36)"
/content/drive/MyDrive/symmetry_dataset/clem-onojeghuo-MgRgzB58D44-unsplash.jpg,"(37.52, 38.16, 36.87, 37.52)"
/content/drive/MyDrive/symmetry_dataset/sean-foster-Ta8DhUjQNzI-unsplash.jpg,"(29.74, 16.79, 16.64, 21.06)"
/content/drive/MyDrive/symmetry_dataset/darklabs-india-wwEE3qtFtvU-unsplash.jpg,"(36.04, 29.84, 28.84, 31.57)"
/content/drive/MyDrive/symmetry_dataset/intricate-explorer-3IpOIzAF9Ek-unsplash.jpg,"(17.5, 16.16, 14.16, 15.94)"
/content/drive/MyDrive/symmetry_dataset/chandler-revard-pgu7lS0sbL0-unsplash.jpg,"(58.48, 39.67, 39.58, 45.91)"
/content/drive/MyDrive/symmetry_dataset/adrian-trinkaus-nDXLjf-sDWA-unsplash.jpg,"(65.7, 53.78, 53.54, 57.67)"
/content/drive/MyDrive/symmetry_dataset/jeremy-cooper-zQdNKPadsZ0-unsplash.jpg,"(69.89, 62.89, 56.03, 62.94)"
/content/drive/MyDrive/symmetry_dataset/aleksandr-kotrulev-0JlvoV6rDpk-unsplash.jpg,"(50.02, 39.79, 39.34, 43.05)"
/content/drive/MyDrive/symmetry_dataset/alexander-krivitskiy-NIsQJv2jyw0-unsplash.jpg,"(32.58, 24.89, 21.81, 26.43)"
/content/drive/MyDrive/symmetry_dataset/alice-butenko-DNrtyC94eMw-unsplash.jpg,"(7.34, 5.24, 5.09, 5.89)"
/content/drive/MyDrive/symmetry_dataset/saman-taheri-9UJUfEhXOfM-unsplash.jpg,"(80.41, 76.6, 78.56, 78.52)"
/content/drive/MyDrive/symmetry_dataset/alvaro-polo-lwSIJY9hwL4-unsplash.jpg,"(41.8, 35.04, 34.32, 37.05)"
/content/drive/MyDrive/symmetry_dataset/amar-kun-kawakibi-L3pKCwgGl_o-unsplash.jpg,"(52.91, 39.6, 38.2, 43.57)"
/content/drive/MyDrive/symmetry_dataset/patricia-lara-7WKAA66ajdk-unsplash.jpg,"(31.04, 26.66, 26.51, 28.07)"
/content/drive/MyDrive/symmetry_dataset/amariei-mihai-zPrunQhm2M4-unsplash.jpg,"(70.35, 36.56, 34.3, 47.07)"
/content/drive/MyDrive/symmetry_dataset/ana-karla-parra-os9LCu3X7xE-unsplash.jpg,"(55.43, 55.19, 54.24, 54.96)"
/content/drive/MyDrive/symmetry_dataset/ananth-pai-EPD9KPAEwsk-unsplash.jpg,"(54.94, 35.79, 34.71, 41.81)"
/content/drive/MyDrive/symmetry_dataset/ryan-johnston-v97v3xW8Q8A-unsplash.jpg,"(36.05, 19.43, 18.79, 24.76)"
/content/drive/MyDrive/symmetry_dataset/andre-mouton-tFTYlAc9pyw-unsplash.jpg,"(89.34, 89.05, 88.64, 89.01)"
/content/drive/MyDrive/symmetry_dataset/angela-lo-WQwdR7RbXc0-unsplash.jpg,"(55.11, 45.42, 45.08, 48.54)"
/content/drive/MyDrive/symmetry_dataset/aziz-acharki-y8VJIzxxsIM-unsplash.jpg,"(57.57, 56.47, 56.25, 56.77)"
/content/drive/MyDrive/symmetry_dataset/amirreza-momennia-RfhSzF3CqSs-unsplash.jpg,"(7.18, 5.43, 5.45, 6.02)"
/content/drive/MyDrive/symmetry_dataset/bady-abbas-KvABIybtJgA-unsplash.jpg,"(19.04, 19.42, 20.17, 19.54)"
/content/drive/MyDrive/symmetry_dataset/akki-KUQo6KcHZ_Q-unsplash.jpg,"(54.32, 57.49, 50.32, 54.04)"
/content/drive/MyDrive/symmetry_dataset/ben-krb-SFx6fdRAtbE-unsplash.jpg,"(65.7, 65.27, 62.59, 64.52)"
/content/drive/MyDrive/symmetry_dataset/brennan-martinez-8TLJQxMabP4-unsplash.jpg,"(50.65, 37.61, 37.62, 41.96)"
/content/drive/MyDrive/symmetry_dataset/sean-d-auria-fBcvoZtF3gI-unsplash.jpg,"(47.89, 35.12, 34.99, 39.33)"
/content/drive/MyDrive/symmetry_dataset/cesira-alvarado-SsgCQtKs8lY-unsplash.jpg,"(76.73, 71.0, 70.92, 72.88)"
/content/drive/MyDrive/symmetry_dataset/charles-postiaux-AEogFBJFB9A-unsplash.jpg,"(57.64, 38.82, 37.72, 44.72)"
/content/drive/MyDrive/symmetry_dataset/chelaxy-designs-qUS6R8AZNaY-unsplash.jpg,"(59.13, 46.0, 44.24, 49.79)"
/content/drive/MyDrive/symmetry_dataset/chris-lutke-13h68adCMHY-unsplash.jpg,"(60.71, 58.84, 54.94, 58.16)"
/content/drive/MyDrive/symmetry_dataset/chuan-G3kDOKaa5R8-unsplash.jpg,"(44.91, 38.03, 37.36, 40.1)"
/content/drive/MyDrive/symmetry_dataset/clay-banks-VXhQgveleuA-unsplash.jpg,"(28.8, 19.39, 19.23, 22.47)"
/content/drive/MyDrive/symmetry_dataset/colin-lloyd-XCAyeJwNNkk-unsplash.jpg,"(36.94, 32.6, 25.16, 31.57)"
/content/drive/MyDrive/symmetry_dataset/coline-beulin-XuJFtB_2yWA-unsplash.jpg,"(86.44, 80.09, 79.68, 82.07)"
/content/drive/MyDrive/symmetry_dataset/colton-duke-JJFoy0BpqLk-unsplash.jpg,"(38.3, 25.92, 25.68, 29.96)"
/content/drive/MyDrive/symmetry_dataset/cristina-gottardi-Em7HwmdRPy8-unsplash.jpg,"(49.31, 46.7, 44.71, 46.91)"
/content/drive/MyDrive/symmetry_dataset/cristina-gottardi-MEDKPh77-c4-unsplash.jpg,"(44.29, 36.82, 33.01, 38.04)"
/content/drive/MyDrive/symmetry_dataset/dan-gold-w-9Rhh0Tgqo-unsplash.jpg,"(61.83, 61.69, 61.68, 61.73)"
/content/drive/MyDrive/symmetry_dataset/david-clode-xNSCi_K179c-unsplash.jpg,"(26.33, 27.59, 27.84, 27.25)"
/content/drive/MyDrive/symmetry_dataset/david-lezcano-17AJ4GksGpE-unsplash.jpg,"(55.16, 46.83, 47.68, 49.89)"
/content/drive/MyDrive/symmetry_dataset/den-evstratov-U7stODj21DU-unsplash.jpg,"(88.03, 87.42, 86.52, 87.32)"
/content/drive/MyDrive/symmetry_dataset/denys-nevozhai-MYrIjTGbTK0-unsplash.jpg,"(81.63, 13.17, 13.16, 35.99)"
/content/drive/MyDrive/symmetry_dataset/dmitri-szs4JuycZlQ-unsplash.jpg,"(34.6, 29.74, 24.38, 29.57)"
/content/drive/MyDrive/symmetry_dataset/drew-dizzy-graham-c6sle3xzSOs-unsplash.jpg,"(74.4, 39.11, 39.1, 50.87)"
/content/drive/MyDrive/symmetry_dataset/drew-dizzy-graham-FK0RhfEeY0w-unsplash.jpg,"(5.83, 7.15, 7.3, 6.76)"
/content/drive/MyDrive/symmetry_dataset/drew-dizzy-graham-WdsiWZ8pouY-unsplash.jpg,"(74.39, 56.79, 56.48, 62.55)"
/content/drive/MyDrive/symmetry_dataset/elena-rabkina-awt1U6qbYoI-unsplash.jpg,"(10.33, 9.31, 9.09, 9.58)"
/content/drive/MyDrive/symmetry_dataset/enrico--A3E5rsdTbU-unsplash.jpg,"(62.76, 31.75, 31.66, 42.06)"
/content/drive/MyDrive/symmetry_dataset/erol-ahmed-aIYFR0vbADk-unsplash.jpg,"(9.54, 10.63, 9.47, 9.88)"
/content/drive/MyDrive/symmetry_dataset/esteban-bonilla-cJBezX84KWA-unsplash.jpg,"(38.84, 38.51, 38.4, 38.58)"
/content/drive/MyDrive/symmetry_dataset/fabian-bachli-nC0A85XQ2pI-unsplash.jpg,"(13.13, 13.49, 13.31, 13.31)"
/content/drive/MyDrive/symmetry_dataset/faris-mohammed-uemGtQ7PTlM-unsplash.jpg,"(80.11, 74.66, 74.44, 76.4)"
/content/drive/MyDrive/symmetry_dataset/faruk-kaymak-P_Ne56WEe5s-unsplash.jpg,"(26.37, 27.08, 23.7, 25.72)"
/content/drive/MyDrive/symmetry_dataset/ferdinand-stohr-NFs6dRTBgaM-unsplash.jpg,"(41.57, 39.64, 40.12, 40.44)"
/content/drive/MyDrive/symmetry_dataset/fernando-meloni-k0jOcbLub3o-unsplash.jpg,"(34.87, 21.52, 18.54, 24.98)"
/content/drive/MyDrive/symmetry_dataset/flow-clark-GxyyNHAxVWE-unsplash.jpg,"(35.43, 20.73, 13.12, 23.09)"
/content/drive/MyDrive/symmetry_dataset/frames-for-your-heart-xQdP5ZI8dsI-unsplash.jpg,"(43.25, 35.02, 23.08, 33.78)"
/content/drive/MyDrive/symmetry_dataset/frank-zhang-htTzD4O9_hk-unsplash.jpg,"(59.21, 47.29, 46.29, 50.93)"
/content/drive/MyDrive/symmetry_dataset/guillaume-zaracas-KhyutFfJ-iE-unsplash.jpg,"(62.0, 40.38, 40.12, 47.5)"
/content/drive/MyDrive/symmetry_dataset/hhh13-dat6EwZnY1w-unsplash.jpg,"(22.23, 19.97, 19.42, 20.54)"
